Country,Code,ContinentCode,Year,Month,Economic growth percent change in quarterly real GDP,House price index,Consumer Price Index (CPI),Private sector credit billion currency units,Consumer credit billion currency units,Unemployment rate percent
Zambia,ZMB,AF,2015,1,,,146.76,22.15,,
Zambia,ZMB,AF,2015,2,,,147.13,22.78,,
Zambia,ZMB,AF,2015,3,4,,148.63,23.62,,
Zambia,ZMB,AF,2015,4,,,149.66,23.95,,
Zambia,ZMB,AF,2015,5,,,150.62,23.93,,
Zambia,ZMB,AF,2015,6,2.6,,151.46,23.96,,
Zambia,ZMB,AF,2015,7,,,152.64,24.75,,
Zambia,ZMB,AF,2015,8,,,153.94,26.84,,
Zambia,ZMB,AF,2015,9,3.8,,155,29.24,,
Zambia,ZMB,AF,2015,10,,,164.65,29.68,,
Zambia,ZMB,AF,2015,11,,,172.86,28.16,,
Zambia,ZMB,AF,2015,12,1.4,,176.46,28.75,,
Zambia,ZMB,AF,2016,1,,,178.7,29.34,,
Zambia,ZMB,AF,2016,2,,,180.81,29.45,,
Zambia,ZMB,AF,2016,3,3.3,,181.68,29.17,,
Zambia,ZMB,AF,2016,4,,,182.24,27.64,,
Zambia,ZMB,AF,2016,5,,,182.68,28.58,,
Zambia,ZMB,AF,2016,6,4.6,,183.31,27.97,,
Zambia,ZMB,AF,2016,7,,,183.43,28.83,,
Zambia,ZMB,AF,2016,8,,,184.07,30.52,,
Zambia,ZMB,AF,2016,9,3.4,,184.22,30.54,,
Zambia,ZMB,AF,2016,10,,,185.16,27.11,,
Zambia,ZMB,AF,2016,11,,,188,27.08,,
Zambia,ZMB,AF,2016,12,3.8,,189.64,26.06,,
Zambia,ZMB,AF,2017,1,,,191.28,25.93,,
Zambia,ZMB,AF,2017,2,,,193.12,25.39,,
Zambia,ZMB,AF,2017,3,2.7,,193.78,25.26,,11.9
Zambia,ZMB,AF,2017,4,,,194.48,25.12,,
Zambia,ZMB,AF,2017,5,,,194.62,25.03,,
Zambia,ZMB,AF,2017,6,3.5,,195.82,25.61,,11.4
Zambia,ZMB,AF,2017,7,,,195.6,25.3,,
Zambia,ZMB,AF,2017,8,,,195.75,24.96,,
Zambia,ZMB,AF,2017,9,4.5,,196.33,26.02,,13
Zambia,ZMB,AF,2017,10,,,197.1,26.24,,
