bitcoin_date,price,bitcoin_sats,one_dollar_sats
8/2/2017,2697.85,100000000,37067
8/3/2017,2777.37,100000000,36005
8/4/2017,2845.9,100000000,35138
8/5/2017,3237.07,100000000,30892
8/6/2017,3189.73,100000000,31351
8/7/2017,3356.71,100000000,29791
8/8/2017,3410.45,100000000,29322
8/9/2017,3330.9,100000000,30022
8/10/2017,3367.91,100000000,29692
8/11/2017,3562.59,100000000,28069
8/12/2017,3800.14,100000000,26315
8/13/2017,4023.25,100000000,24855
8/14/2017,4175.7,100000000,23948
8/15/2017,4149.31,100000000,24100
8/16/2017,4262.56,100000000,23460
8/17/2017,4286.92,100000000,23327
8/18/2017,4097.69,100000000,24404
8/19/2017,4115.21,100000000,24300
8/20/2017,4001.23,100000000,24992
8/21/2017,3935.23,100000000,25411
8/22/2017,4008.42,100000000,24948
8/23/2017,4069.08,100000000,24576
8/24/2017,4167.29,100000000,23996
8/25/2017,4199.89,100000000,23810
8/26/2017,4123.51,100000000,24251
8/27/2017,4116.47,100000000,24293
8/28/2017,4216.24,100000000,23718
8/29/2017,4394.06,100000000,22758
8/30/2017,4553.81,100000000,21960
8/31/2017,4702.94,100000000,21263
9/1/2017,4863.19,100000000,20563
9/2/2017,4556.6,100000000,21946
9/3/2017,4632.46,100000000,21587
9/4/2017,4317.19,100000000,23163
9/5/2017,4447.88,100000000,22483
9/6/2017,4592.25,100000000,21776
9/7/2017,4584.82,100000000,21811
9/8/2017,4285.21,100000000,23336
9/9/2017,4245.61,100000000,23554
9/10/2017,4132.66,100000000,24197
9/11/2017,4164.98,100000000,24010
9/12/2017,4130.96,100000000,24207
9/13/2017,3883.65,100000000,25749
9/14/2017,3100.67,100000000,32251
9/15/2017,3587.94,100000000,27871
9/16/2017,3606.28,100000000,27729
9/17/2017,3553.43,100000000,28142
9/18/2017,4012.29,100000000,24923
9/19/2017,3898.93,100000000,25648
9/20/2017,3858.02,100000000,25920
9/21/2017,3628.06,100000000,27563
9/22/2017,3622.18,100000000,27608
9/23/2017,3763.41,100000000,26572
9/24/2017,3672.31,100000000,27231
9/25/2017,3866.71,100000000,25862
9/26/2017,3852.94,100000000,25954
9/27/2017,4134.21,100000000,24188
9/28/2017,4134.88,100000000,24184
9/29/2017,4130.42,100000000,24211
9/30/2017,4297.79,100000000,23268
10/1/2017,4347.58,100000000,23001
10/2/2017,4383.33,100000000,22814
10/3/2017,4319.07,100000000,23153
10/4/2017,4231.46,100000000,23632
10/5/2017,4290.38,100000000,23308
10/6/2017,4347.55,100000000,23001
10/7/2017,4405.02,100000000,22701
10/8/2017,4562.32,100000000,21919
10/9/2017,4758.72,100000000,21014
10/10/2017,4769.48,100000000,20967
10/11/2017,4807.93,100000000,20799
10/12/2017,5331.62,100000000,18756
10/13/2017,5610.49,100000000,17824
10/14/2017,5679.22,100000000,17608
10/15/2017,5684.05,100000000,17593
10/16/2017,5728.93,100000000,17455
10/17/2017,5643.86,100000000,17718
10/18/2017,5592.78,100000000,17880
10/19/2017,5696.38,100000000,17555
10/20/2017,5952.77,100000000,16799
10/21/2017,6043.97,100000000,16545
10/22/2017,6003.46,100000000,16657
10/23/2017,5959.98,100000000,16779
10/24/2017,5550.08,100000000,18018
10/25/2017,5704.87,100000000,17529
10/26/2017,5883.05,100000000,16998
10/27/2017,5775.52,100000000,17314
10/28/2017,5734.31,100000000,17439
10/29/2017,6123.55,100000000,16330
10/30/2017,6104.39,100000000,16382
10/31/2017,6368.65,100000000,15702
11/1/2017,6714.79,100000000,14893
11/2/2017,7059.79,100000000,14165
11/3/2017,7234.74,100000000,13822
11/4/2017,7390.54,100000000,13531
11/5/2017,7416.27,100000000,13484
11/6/2017,7103.05,100000000,14078
11/7/2017,7166.74,100000000,13953
11/8/2017,7461.82,100000000,13402
11/9/2017,7186.29,100000000,13915
11/10/2017,6656.84,100000000,15022
11/11/2017,6365.4,100000000,15710
11/12/2017,5866.51,100000000,17046
11/13/2017,6423.09,100000000,15569
11/14/2017,6652.22,100000000,15033
11/15/2017,7297.67,100000000,13703
11/16/2017,7814.94,100000000,12796
11/17/2017,7783.54,100000000,12848
11/18/2017,7827.63,100000000,12775
11/19/2017,8011.15,100000000,12483
11/20/2017,8220.51,100000000,12165
11/21/2017,8114.13,100000000,12324
11/22/2017,8257.12,100000000,12111
11/23/2017,8117.66,100000000,12319
11/24/2017,8278.13,100000000,12080
11/25/2017,8743.16,100000000,11438
11/26/2017,9342.99,100000000,10703
11/27/2017,9831.4,100000000,10171
11/28/2017,10257.07,100000000,9749
11/29/2017,9875.89,100000000,10126
11/30/2017,10406.19,100000000,9610
12/1/2017,10995.72,100000000,9094
12/2/2017,11162.55,100000000,8959
12/3/2017,11256.7,100000000,8884
12/4/2017,11634.98,100000000,8595
12/5/2017,12174.25,100000000,8214
12/6/2017,13876.47,100000000,7206
12/7/2017,18491.18,100000000,5408
12/8/2017,16908,100000000,5914
12/9/2017,15266.43,100000000,6550
12/10/2017,15808.51,100000000,6326
12/11/2017,17106.51,100000000,5846
12/12/2017,17249.92,100000000,5797
12/13/2017,16525.04,100000000,6051
12/14/2017,16865.36,100000000,5929
12/15/2017,17978.63,100000000,5562
12/16/2017,19665.39,100000000,5085
12/17/2017,19423.58,100000000,5148
12/18/2017,19188.05,100000000,5212
12/19/2017,18174.19,100000000,5502
12/20/2017,17059.89,100000000,5862
12/21/2017,16355.24,100000000,6114
12/22/2017,14084.82,100000000,7100
12/23/2017,15241.92,100000000,6561
12/24/2017,14451.11,100000000,6920
12/25/2017,14302.75,100000000,6992
12/26/2017,16616.68,100000000,6018
12/27/2017,16373.08,100000000,6108
12/28/2017,15067.9,100000000,6637
12/29/2017,15096.56,100000000,6624
12/30/2017,13620.36,100000000,7342
12/31/2017,14839.59,100000000,6739
1/1/2018,14093.61,100000000,7095
1/2/2018,15321.93,100000000,6527
1/3/2018,15583.89,100000000,6417
1/4/2018,15976.37,100000000,6259
1/5/2018,18336.92,100000000,5453
1/6/2018,18343.66,100000000,5451
1/7/2018,17039.87,100000000,5869
1/8/2018,15900.37,100000000,6289
1/9/2018,15604.72,100000000,6408
1/10/2018,15509.27,100000000,6448
1/11/2018,14050.57,100000000,7117
1/12/2018,14759.29,100000000,6775
1/13/2018,15193.31,100000000,6582
1/14/2018,14476.59,100000000,6908
1/15/2018,14412,100000000,6939
1/16/2018,11723.91,100000000,8530
1/17/2018,11415.39,100000000,8760
1/18/2018,11569.42,100000000,8643
1/19/2018,11758.47,100000000,8505
1/20/2018,13260.27,100000000,7541
1/21/2018,11703.5,100000000,8544
1/22/2018,10991.6,100000000,9098
1/23/2018,10894,100000000,9179
1/24/2018,11277.12,100000000,8868
1/25/2018,11225.25,100000000,8908
1/26/2018,11044.91,100000000,9054
1/27/2018,11456.21,100000000,8729
1/28/2018,11665.7,100000000,8572
1/29/2018,11157.66,100000000,8962
1/30/2018,11095.21,100000000,9013
1/31/2018,9989.69,100000000,10010
2/1/2018,10114.5,100000000,9887
2/2/2018,9070.56,100000000,11025
2/3/2018,8830.16,100000000,11325
2/4/2018,8994.91,100000000,11117
2/5/2018,8315.52,100000000,12026
2/6/2018,6852.05,100000000,14594
2/7/2018,7711.22,100000000,12968
2/8/2018,7611.61,100000000,13138
2/9/2018,8208.57,100000000,12182
2/10/2018,8650.72,100000000,11560
2/11/2018,8574.68,100000000,11662
2/12/2018,8168.64,100000000,12242
2/13/2018,8911.4,100000000,11222
2/14/2018,8518.27,100000000,11739
2/15/2018,9428.03,100000000,10607
2/16/2018,10112.58,100000000,9889
2/17/2018,10155.28,100000000,9847
2/18/2018,11006.65,100000000,9085
2/19/2018,10523.43,100000000,9503
2/20/2018,11103.09,100000000,9007
2/21/2018,11502.38,100000000,8694
