bitcoin_date,price,bitcoin_sats,one_dollar_sats
2017-08-02 00:00:00 UTC,2697.85,100000000.00,37067
2017-08-03 00:00:00 UTC,2777.37,100000000.00,36005
2017-08-04 00:00:00 UTC,2845.90,100000000.00,35138
2017-08-05 00:00:00 UTC,3237.07,100000000.00,30892
2017-08-06 00:00:00 UTC,3189.73,100000000.00,31351
2017-08-07 00:00:00 UTC,3356.71,100000000.00,29791
2017-08-08 00:00:00 UTC,3410.45,100000000.00,29322
2017-08-09 00:00:00 UTC,3330.90,100000000.00,30022
2017-08-10 00:00:00 UTC,3367.91,100000000.00,29692
2017-08-11 00:00:00 UTC,3562.59,100000000.00,28069
2017-08-12 00:00:00 UTC,3800.14,100000000.00,26315
2017-08-13 00:00:00 UTC,4023.25,100000000.00,24855
2017-08-14 00:00:00 UTC,4175.70,100000000.00,23948
2017-08-15 00:00:00 UTC,4149.31,100000000.00,24100
2017-08-16 00:00:00 UTC,4262.56,100000000.00,23460
2017-08-17 00:00:00 UTC,4286.92,100000000.00,23327
2017-08-18 00:00:00 UTC,4097.69,100000000.00,24404
2017-08-19 00:00:00 UTC,4115.21,100000000.00,24300
2017-08-20 00:00:00 UTC,4001.23,100000000.00,24992
2017-08-21 00:00:00 UTC,3935.23,100000000.00,25411
2017-08-22 00:00:00 UTC,4008.42,100000000.00,24948
2017-08-23 00:00:00 UTC,4069.08,100000000.00,24576
2017-08-24 00:00:00 UTC,4167.29,100000000.00,23996
2017-08-25 00:00:00 UTC,4199.89,100000000.00,23810
2017-08-26 00:00:00 UTC,4123.51,100000000.00,24251
2017-08-27 00:00:00 UTC,4116.47,100000000.00,24293
2017-08-28 00:00:00 UTC,4216.24,100000000.00,23718
2017-08-29 00:00:00 UTC,4394.06,100000000.00,22758
2017-08-30 00:00:00 UTC,4553.81,100000000.00,21960
2017-08-31 00:00:00 UTC,4702.94,100000000.00,21263
2017-09-01 00:00:00 UTC,4863.19,100000000.00,20563
2017-09-02 00:00:00 UTC,4556.60,100000000.00,21946
2017-09-03 00:00:00 UTC,4632.46,100000000.00,21587
2017-09-04 00:00:00 UTC,4317.19,100000000.00,23163
2017-09-05 00:00:00 UTC,4447.88,100000000.00,22483
2017-09-06 00:00:00 UTC,4592.25,100000000.00,21776
2017-09-07 00:00:00 UTC,4584.82,100000000.00,21811
2017-09-08 00:00:00 UTC,4285.21,100000000.00,23336
2017-09-09 00:00:00 UTC,4245.61,100000000.00,23554
2017-09-10 00:00:00 UTC,4132.66,100000000.00,24197
2017-09-11 00:00:00 UTC,4164.98,100000000.00,24010
2017-09-12 00:00:00 UTC,4130.96,100000000.00,24207
2017-09-13 00:00:00 UTC,3883.65,100000000.00,25749
2017-09-14 00:00:00 UTC,3100.67,100000000.00,32251
2017-09-15 00:00:00 UTC,3587.94,100000000.00,27871
2017-09-16 00:00:00 UTC,3606.28,100000000.00,27729
2017-09-17 00:00:00 UTC,3553.43,100000000.00,28142
2017-09-18 00:00:00 UTC,4012.29,100000000.00,24923
2017-09-19 00:00:00 UTC,3898.93,100000000.00,25648
2017-09-20 00:00:00 UTC,3858.02,100000000.00,25920
2017-09-21 00:00:00 UTC,3628.06,100000000.00,27563
2017-09-22 00:00:00 UTC,3622.18,100000000.00,27608
2017-09-23 00:00:00 UTC,3763.41,100000000.00,26572
2017-09-24 00:00:00 UTC,3672.31,100000000.00,27231
2017-09-25 00:00:00 UTC,3866.71,100000000.00,25862
2017-09-26 00:00:00 UTC,3852.94,100000000.00,25954
2017-09-27 00:00:00 UTC,4134.21,100000000.00,24188
2017-09-28 00:00:00 UTC,4134.88,100000000.00,24184
2017-09-29 00:00:00 UTC,4130.42,100000000.00,24211
2017-09-30 00:00:00 UTC,4297.79,100000000.00,23268
2017-10-01 00:00:00 UTC,4347.58,100000000.00,23001
2017-10-02 00:00:00 UTC,4383.33,100000000.00,22814
2017-10-03 00:00:00 UTC,4319.07,100000000.00,23153
2017-10-04 00:00:00 UTC,4231.46,100000000.00,23632
2017-10-05 00:00:00 UTC,4290.38,100000000.00,23308
2017-10-06 00:00:00 UTC,4347.55,100000000.00,23001
2017-10-07 00:00:00 UTC,4405.02,100000000.00,22701
2017-10-08 00:00:00 UTC,4562.32,100000000.00,21919
2017-10-09 00:00:00 UTC,4758.72,100000000.00,21014
2017-10-10 00:00:00 UTC,4769.48,100000000.00,20967
2017-10-11 00:00:00 UTC,4807.93,100000000.00,20799
2017-10-12 00:00:00 UTC,5331.62,100000000.00,18756
2017-10-13 00:00:00 UTC,5610.49,100000000.00,17824
2017-10-14 00:00:00 UTC,5679.22,100000000.00,17608
2017-10-15 00:00:00 UTC,5684.05,100000000.00,17593
2017-10-16 00:00:00 UTC,5728.93,100000000.00,17455
2017-10-17 00:00:00 UTC,5643.86,100000000.00,17718
2017-10-18 00:00:00 UTC,5592.78,100000000.00,17880
2017-10-19 00:00:00 UTC,5696.38,100000000.00,17555
2017-10-20 00:00:00 UTC,5952.77,100000000.00,16799
2017-10-21 00:00:00 UTC,6043.97,100000000.00,16545
2017-10-22 00:00:00 UTC,6003.46,100000000.00,16657
2017-10-23 00:00:00 UTC,5959.98,100000000.00,16779
2017-10-24 00:00:00 UTC,5550.08,100000000.00,18018
2017-10-25 00:00:00 UTC,5704.87,100000000.00,17529
2017-10-26 00:00:00 UTC,5883.05,100000000.00,16998
2017-10-27 00:00:00 UTC,5775.52,100000000.00,17314
2017-10-28 00:00:00 UTC,5734.31,100000000.00,17439
2017-10-29 00:00:00 UTC,6123.55,100000000.00,16330
2017-10-30 00:00:00 UTC,6104.39,100000000.00,16382
2017-10-31 00:00:00 UTC,6368.65,100000000.00,15702
2017-11-01 00:00:00 UTC,6714.79,100000000.00,14893
2017-11-02 00:00:00 UTC,7059.79,100000000.00,14165
