profession,job_length,state,homeownership, annual_income ,debt_to_income,earliest_credit_line,total_credit_lines,total_credit_limit, total_credit_utilized ,loan_purpose, loan_amount,term,interest_rate, installment , total_payment , 10% of monthly , Bitcoin strategy ,issue_month
realtor,7,CO,RENT,"150,000",18.8,1963,15,156707,"126,555",debt_consolidation,22500,36,5.31,677,26084,68,,18-Mar
,,CA,MORTGAGE,"110,000",11.2,1963,20,1023751,"23,623",home_improvement,15000,60,7.34,299,20505,30,,18-Mar
,,CA,OWN,"50,256",28.37,1964,26,120600,"41,322",other,5000,36,6.07,152,5911,15,,18-Mar
,,CA,MORTGAGE,"32,000",10.92,1965,32,219900,"12,653",debt_consolidation,12000,36,11.99,399,16316,40,,18-Feb
quality control,1,MO,RENT,"70,000",8.61,1966,21,198131,"198,478",debt_consolidation,30000,36,10.9,981,39810,98,,18-Mar
,,NC,OWN,"54,032",30.52,1967,23,37384,"36,517",debt_consolidation,2500,36,20,93,4000,9,,18-Jan
payroll manager/ar,6,CO,OWN,"106,000",23.54,1967,20,157999,"64,416",debt_consolidation,36000,60,9.44,755,52992,76,,18-Jan
,,AL,MORTGAGE,"59,871",29.17,1968,44,76313,"23,421",debt_consolidation,10000,36,7.97,313,12391,31,,18-Feb
driver,5,GA,MORTGAGE,"700,000",1.48,1968,5,57612,"50,187",other,5600,36,12.62,188,7720,19,,18-Jan
,,LA,RENT,"13,390",80.18,1969,17,430500,"57,226",credit_card,31675,36,6.71,974,38051,97,,18-Mar
technical sales rep,1,FL,OWN,"150,000",33.23,1969,35,566609,"105,380",credit_card,16500,36,6.07,502,19505,50,,18-Mar
,,VA,MORTGAGE,"82,048",29.97,1969,15,257955,"59,425",debt_consolidation,35000,36,17.09,"1,249",52945,125,,18-Jan
,,PA,MORTGAGE,"30,000",29.36,1969,28,77668,"12,663",credit_card,12000,60,16.01,292,21606,29,,18-Feb
,,SC,MORTGAGE,"60,000",20.78,1969,43,218850,"33,308",credit_card,25000,36,7.35,776,30513,78,,18-Feb
executive vp and general counsel,3,DC,RENT,"350,000",10.28,1969,25,224676,"92,736",debt_consolidation,40000,60,7.35,799,54700,80,,18-Jan
bench tech,4,KY,MORTGAGE,"54,996",4.12,1969,18,75800,"9,868",debt_consolidation,10000,36,9.93,322,12979,32,,18-Jan
,,FL,MORTGAGE,"24,000",19.09,1970,17,20302,"9,099",debt_consolidation,4700,36,6.08,143,5557,14,,18-Feb
electronic assembly ,3,NH,RENT,"30,000",18.72,1970,23,30258,"16,526",other,1500,36,10.9,49,1991,5,,18-Mar
,,CA,MORTGAGE,"42,000",17.54,1970,19,27700,"15,033",debt_consolidation,10000,36,16.01,352,14803,35,,18-Mar
director,1,FL,MORTGAGE,"352,250",5.22,1970,16,58200,"49,447",house,40000,60,15.05,953,70100,95,,18-Jan
,,NY,OWN,"90,000",31.77,1971,27,175947,"112,789",other,8000,36,15.05,278,11612,28,,18-Feb
senior advisor t-2 apple,3,OK,RENT,"95,000",26.84,1971,37,104652,"43,563",debt_consolidation,20000,60,15.05,476,35050,48,,18-Jan
,,WY,OWN,"64,000",25.3,1971,38,372713,"38,166",credit_card,28000,60,15.05,667,49070,67,,18-Jan
,,NY,RENT,"67,000",22.99,1971,28,103500,"42,046",debt_consolidation,16000,36,6.71,492,19221,49,,18-Feb
associate,10,NE,RENT,"30,000",22,1971,20,18000,"10,518",debt_consolidation,15000,36,16.02,528,22209,53,,18-Jan
owner,10,CA,RENT,"68,000",18.99,1971,14,44050,"34,712",small_business,7200,36,16.01,253,10658,25,,18-Mar
,,FL,MORTGAGE,"94,000",18.26,1971,33,271045,"47,000",home_improvement,4000,36,12.62,134,5514,13,,18-Jan
,,CA,OWN,"120,000",16,1971,22,355333,"43,813",debt_consolidation,40000,60,7.34,798,54680,80,,18-Mar
owner,0,KS,OWN,"130,000",10.34,1971,34,39929,"17,378",home_improvement,20000,36,12.61,670,27566,67,,18-Mar
,,NY,OWN,"70,000",35.95,1972,25,159402,"117,084",debt_consolidation,6000,36,12.62,201,8272,20,,18-Feb
,,CA,RENT,"50,676",30.69,1972,45,149783,"32,023",debt_consolidation,8000,36,6.71,246,9610,25,,18-Mar
,,NY,MORTGAGE,"52,680",23.51,1972,31,288670,"42,667",debt_consolidation,19950,60,30.17,648,50045,65,,18-Jan
,,CA,RENT,"55,000",21.89,1972,35,69758,"42,779",debt_consolidation,20000,60,21.45,546,41450,55,,18-Feb
,,NJ,RENT,"75,000",15.08,1972,38,113900,"24,028",medical,16000,60,9.93,339,23944,34,,18-Feb
merchandise,3,AZ,MORTGAGE,"35,000",12.83,1972,25,273515,"14,172",debt_consolidation,10000,36,6.08,305,11824,30,,18-Jan
,,NY,OWN,"44,100",10.69,1972,20,81050,"30,834",debt_consolidation,18000,36,6.08,548,21283,55,,18-Jan
manager ii,10,CA,MORTGAGE,"130,000",9.53,1972,32,333400,"21,579",other,14000,36,6.08,426,16554,43,,18-Jan
book keeper,5,AL,OWN,"75,000",3.82,1972,29,44500,"53,191",debt_consolidation,15000,60,18.45,385,28838,38,,18-Feb
bartender,0,UT,RENT,"25,000",3.7,1972,6,1900,807,debt_consolidation,5000,36,12.62,168,6893,17,,18-Jan
,,CA,MORTGAGE,"12,300",45.37,1973,10,28441,"16,604",credit_card,12000,36,7.34,372,14642,37,,18-Mar
mechanical test manager,2,PA,MORTGAGE,"109,000",31.06,1973,33,443762,"297,856",debt_consolidation,15000,36,5.32,452,17394,45,,18-Jan
product specialist,10,WI,MORTGAGE,"53,500",26.56,1973,35,232793,"37,558",debt_consolidation,12000,60,11.99,267,19194,27,,18-Jan
assistant dining room manager,7,SD,OWN,"62,000",18.33,1973,30,41012,"20,390",home_improvement,8000,36,9.43,256,10263,26,,18-Mar
,,CT,RENT,"44,050",17.96,1973,29,31980,"10,080",debt_consolidation,3000,36,19.03,110,4713,11,,18-Jan
studio manager,6,CA,RENT,"30,000",17.08,1973,20,50000,"4,239",house,20000,60,9.43,419,29430,42,,18-Mar
,,TX,OWN,"25,000",9.07,1973,8,8600,"5,890",debt_consolidation,10000,36,11.99,332,13597,33,,18-Feb
programmer,2,TX,MORTGAGE,"65,000",2.66,1973,28,328100,"6,471",home_improvement,24000,60,7.35,479,32820,48,,18-Jan
managing director,10,AR,OWN,"300,000",0.74,1973,15,68417,"5,853",medical,4200,36,6.72,129,5047,13,,18-Feb
,,TX,MORTGAGE,"40,000",94.29,1974,21,300926,"253,219",other,16000,36,20.39,598,25787,60,,18-Feb
assistant store manager,10,CA,RENT,"62,914",37.19,1974,18,66475,"60,109",major_purchase,10000,36,18.45,364,15535,36,,18-Mar
owner,10,TX,OWN,"42,000",32.8,1974,24,61910,"37,145",debt_consolidation,14400,36,21.85,549,23839,55,,18-Mar
director,10,CA,RENT,"150,000",32.55,1974,25,663830,"128,493",debt_consolidation,34650,36,11.99,"1,151",47114,115,,18-Jan
registered nurse,2,IN,OWN,"60,000",26.18,1974,46,254025,"49,966",home_improvement,6000,36,6.07,183,7093,18,,18-Mar
,,MI,MORTGAGE,"55,000",23.11,1974,12,136903,"26,764",credit_card,15000,60,9.43,315,22073,31,,18-Mar
residential coordinator,1,NJ,OWN,"33,000",20.58,1974,22,43680,"9,854",credit_card,1950,36,9.43,62,2502,6,,18-Mar
insurance agent,4,FL,RENT,"25,000",19.44,1974,8,31000,"18,863",credit_card,10000,36,11.99,332,13597,33,,18-Feb
,,LA,OWN,"80,833",18.22,1974,15,157600,"58,718",credit_card,30000,36,5.32,903,34788,90,,18-Feb
disclosure specialists ,0,CA,RENT,"52,000",16.39,1974,45,196996,"111,470",credit_card,18000,60,6.71,354,24039,35,,18-Mar
accountant,10,VA,MORTGAGE,"185,000",12.56,1974,57,556875,"35,459",debt_consolidation,20000,36,11.98,664,27188,66,,18-Feb
,,VA,MORTGAGE,"59,000",10.92,1974,31,110600,"30,312",medical,7000,36,9.92,226,9083,23,,18-Mar
,,CA,RENT,"25,000",9.84,1974,7,6500,"6,420",debt_consolidation,6900,36,17.09,246,10438,25,,18-Jan
owner,10,CA,MORTGAGE,"260,000",4.23,1974,34,483700,"32,649",house,35000,36,6.08,"1,066",41384,107,,18-Jan
owner agent,10,TX,MORTGAGE,"102,000",32.29,1975,47,277005,"96,019",small_business,5000,36,10.9,163,6635,16,,18-Mar
,,OH,MORTGAGE,"38,400",26.56,1975,19,153448,"27,090",debt_consolidation,15000,36,10.91,490,19910,49,,18-Jan
teacher,10,MA,OWN,"55,523",25.94,1975,13,63500,"41,797",home_improvement,10000,36,7.34,310,12202,31,,18-Mar
,,NY,RENT,"22,848",16.86,1975,35,37200,"9,006",debt_consolidation,9500,36,7.35,295,11595,29,,18-Jan
