s&p_date,price,one_dollar_unit
6/1/2017,"2,430.10",0.0004
6/2/2017,"2,439.10",0.0004
6/5/2017,"2,436.10",0.0004
6/6/2017,"2,429.30",0.0004
6/7/2017,"2,433.10",0.0004
6/8/2017,"2,433.80",0.0004
6/9/2017,"2,431.80",0.0004
6/12/2017,"2,429.40",0.0004
6/13/2017,"2,440.30",0.0004
6/14/2017,"2,437.90",0.0004
6/15/2017,"2,432.50",0.0004
6/16/2017,"2,433.20",0.0004
6/19/2017,"2,453.50",0.0004
6/20/2017,"2,437.00",0.0004
6/21/2017,"2,435.60",0.0004
6/22/2017,"2,434.50",0.0004
6/23/2017,"2,438.30",0.0004
6/26/2017,"2,439.10",0.0004
6/27/2017,"2,419.40",0.0004
6/28/2017,"2,440.70",0.0004
6/29/2017,"2,419.70",0.0004
6/30/2017,"2,423.40",0.0004
7/3/2017,"2,429.00",0.0004
7/5/2017,"2,432.50",0.0004
7/6/2017,"2,409.80",0.0004
7/7/2017,"2,425.20",0.0004
7/10/2017,"2,427.40",0.0004
7/11/2017,"2,425.50",0.0004
7/12/2017,"2,443.20",0.0004
7/13/2017,"2,447.80",0.0004
7/14/2017,"2,459.30",0.0004
7/17/2017,"2,459.10",0.0004
7/18/2017,"2,460.60",0.0004
7/19/2017,"2,473.80",0.0004
7/20/2017,"2,473.40",0.0004
7/21/2017,"2,472.50",0.0004
7/24/2017,"2,469.90",0.0004
7/25/2017,"2,477.10",0.0004
7/26/2017,"2,477.80",0.0004
7/27/2017,"2,475.40",0.0004
7/28/2017,"2,472.10",0.0004
7/31/2017,"2,470.30",0.0004
8/1/2017,"2,476.30",0.0004
8/2/2017,"2,477.60",0.0004
8/3/2017,"2,472.20",0.0004
8/4/2017,"2,476.80",0.0004
8/7/2017,"2,480.90",0.0004
8/8/2017,"2,474.90",0.0004
8/9/2017,"2,474.00",0.0004
8/10/2017,"2,438.20",0.0004
8/11/2017,"2,441.30",0.0004
8/14/2017,"2,465.80",0.0004
8/15/2017,"2,464.60",0.0004
8/16/2017,"2,468.10",0.0004
8/17/2017,"2,430.00",0.0004
8/18/2017,"2,425.60",0.0004
8/21/2017,"2,428.40",0.0004
8/22/2017,"2,452.50",0.0004
8/23/2017,"2,444.00",0.0004
8/24/2017,"2,439.00",0.0004
8/25/2017,"2,443.10",0.0004
8/28/2017,"2,444.20",0.0004
8/29/2017,"2,446.30",0.0004
8/30/2017,"2,457.60",0.0004
8/31/2017,"2,471.70",0.0004
9/1/2017,"2,476.60",0.0004
9/5/2017,"2,457.80",0.0004
9/6/2017,"2,465.50",0.0004
9/7/2017,"2,465.10",0.0004
9/8/2017,"2,461.40",0.0004
9/11/2017,"2,488.10",0.0004
9/12/2017,"2,496.50",0.0004
9/13/2017,"2,498.40",0.0004
9/14/2017,"2,495.60",0.0004
9/15/2017,"2,500.20",0.0004
9/18/2017,"2,503.90",0.0004
9/19/2017,"2,506.70",0.0004
9/20/2017,"2,508.20",0.0004
9/21/2017,"2,500.60",0.0004
9/22/2017,"2,502.20",0.0004
9/25/2017,"2,496.70",0.0004
9/26/2017,"2,496.80",0.0004
9/27/2017,"2,507.00",0.0004
9/28/2017,"2,510.10",0.0004
9/29/2017,"2,519.40",0.0004
10/2/2017,"2,529.10",0.0004
10/3/2017,"2,534.60",0.0004
10/4/2017,"2,537.70",0.0004
10/5/2017,"2,552.10",0.0004
10/6/2017,"2,549.30",0.0004
10/9/2017,"2,544.70",0.0004
10/10/2017,"2,550.60",0.0004
10/11/2017,"2,555.20",0.0004
10/12/2017,"2,550.90",0.0004
10/13/2017,"2,553.20",0.0004
10/16/2017,"2,557.60",0.0004
10/17/2017,"2,559.40",0.0004
10/18/2017,"2,561.30",0.0004
10/19/2017,"2,562.10",0.0004
10/20/2017,"2,575.20",0.0004
10/23/2017,"2,565.00",0.0004
10/24/2017,"2,569.10",0.0004
10/25/2017,"2,557.20",0.0004
10/26/2017,"2,560.40",0.0004
10/27/2017,"2,581.10",0.0004
10/30/2017,"2,572.80",0.0004
10/31/2017,"2,575.30",0.0004
11/1/2017,"2,579.40",0.0004
11/2/2017,"2,579.80",0.0004
11/3/2017,"2,587.80",0.0004
11/6/2017,"2,591.10",0.0004
11/7/2017,"2,590.60",0.0004
11/8/2017,"2,594.40",0.0004
11/9/2017,"2,584.60",0.0004
11/10/2017,"2,582.30",0.0004
11/13/2017,"2,584.80",0.0004
11/14/2017,"2,578.90",0.0004
11/15/2017,"2,564.60",0.0004
11/16/2017,"2,585.60",0.0004
11/17/2017,"2,578.80",0.0004
11/20/2017,"2,582.10",0.0004
